idx	status	category	slug	dataset
0	pending	direct_mapped_cef	AWS-GuardDuty__AWSGuardDutyModelingRules__aws_guardduty_raw	aws_guardduty_raw
1	pending	direct_mapped_cef	CheckpointFirewall__CheckpointFirewall__check_point_application_control_raw	check_point_application_control_raw
2	pending	direct_mapped_cef	CheckpointFirewall__CheckpointFirewall__check_point_identity_awareness_raw	check_point_identity_awareness_raw
3	pending	direct_mapped_cef	CheckpointFirewall__CheckpointFirewall__check_point_smartdefense_raw	check_point_smartdefense_raw
4	pending	direct_mapped_cef	CheckpointFirewall__CheckpointFirewall__check_point_url_filtering_raw	check_point_url_filtering_raw
5	pending	direct_mapped_cef	CheckpointFirewall__CheckpointFirewall__check_point_vpn_1_firewall_1_raw	check_point_vpn_1_firewall_1_raw
6	pending	direct_mapped_cef	CiscoStealthwatch__CiscoStealthwatch__lancope_stealthwatch_raw	lancope_stealthwatch_raw
7	pending	direct_mapped_cef	Claroty__Claroty__claroty_ctd_raw	claroty_ctd_raw
8	pending	direct_mapped_cef	Code42__Code42__code42_code42_raw	code42_code42_raw
9	pending	direct_mapped_cef	CyberArkEPM__CyberArkEPM__cyberark_epm_raw	cyberark_epm_raw
10	pending	direct_mapped_cef	CyberArkEPV__CyberArkEPV__cyber_ark_vault_raw	cyber_ark_vault_raw
11	pending	direct_mapped_cef	CyberArk_Privileged_Threat_Analytics__CyberArk_Privileged_Threat_Analytics__cyberark_pta_raw	cyberark_pta_raw
12	pending	direct_mapped_cef	DelineaSS__DelineaSS__thycotic_software_secret_server_raw	thycotic_software_secret_server_raw
13	pending	direct_mapped_cef	FireEyeNX__FireEyeNX__fireeye_mps_raw	fireeye_mps_raw
14	pending	direct_mapped_cef	ForcepointDLP__ForcepointDLP__forcepoint_forcepoint_dlp_raw	forcepoint_forcepoint_dlp_raw
15	pending	direct_mapped_cef	ForcepointEmailSecurity__ForcepointEmailSecurity__forcepoint_email_security_raw	forcepoint_email_security_raw
16	pending	direct_mapped_cef	ForcepointSWG__ForcepointSWG__forcepoint_security_raw	forcepoint_security_raw
17	pending	direct_mapped_cef	Forcepoint__Forcepoint__forcepoint_firewall_raw	forcepoint_firewall_raw
18	pending	direct_mapped_cef	ForeScoutCounterACT__ForeScoutCounterACT__forescout_technologies_counteract_raw	forescout_technologies_counteract_raw
19	pending	direct_mapped_cef	FortinetFortiwebVM__FortinetFortiwebVM__fortinet_fortiweb_raw	fortinet_fortiweb_raw
20	pending	direct_mapped_cef	GuardiCore__GuardiCore__akamai_guardicore_raw	akamai_guardicore_raw
21	pending	direct_mapped_cef	HPEArubaClearPass__HPEArubaClearPass__aruba_networks_clearpass_raw	aruba_networks_clearpass_raw
22	pending	direct_mapped_cef	IBMGuardium__IBMGuardium__ibm_guardium_dsc_raw	ibm_guardium_dsc_raw
23	pending	direct_mapped_cef	IBMGuardium__IBMGuardium__ibm_guardium_raw	ibm_guardium_raw
24	pending	direct_mapped_cef	IllusiveNetworks__IllusiveNetworks__illusive_illusive_raw	illusive_illusive_raw
25	pending	direct_mapped_cef	Imperva_WAF__Imperva_WAF__imperva_inc__securesphere_raw	imperva_inc__securesphere_raw
26	pending	direct_mapped_cef	Incapsula__Incapsula__incapsula_siemintegration_raw	incapsula_siemintegration_raw
27	pending	direct_mapped_cef	ManageEngine-ADAudit__ManageEngine-ADAudit__manageengine_adauditplus_raw	manageengine_adauditplus_raw
28	pending	direct_mapped_cef	ManageEngine-ADSelfServicePlus__ManageEngine-ADSelfServicePlus__manageengine_adssp_raw	manageengine_adssp_raw
29	pending	direct_mapped_cef	McAfeeDatabaseSecurity__McAfeeDatabaseSecurity__mcafee_database_security_raw	mcafee_database_security_raw
30	pending	direct_mapped_cef	MicrosoftAdvancedThreatAnalytics__MicrosoftAdvancedThreatAnalytics__microsoft_ata_raw	microsoft_ata_raw
31	pending	direct_mapped_cef	MicrosoftDefenderforIdentity__MicrosoftDefenderforIdentity__microsoft_azure_atp_raw	microsoft_azure_atp_raw
32	pending	direct_mapped_cef	MicrosoftGraphSecurity__MicrosoftGraphSecurity__msft_graph_security_alerts_raw	msft_graph_security_alerts_raw
33	pending	direct_mapped_cef	Netskope__NetskopeEventCollector__netskope_netskope_raw	netskope_netskope_raw
34	pending	direct_mapped_cef	ProofpointObserveIT__ProofpointObserveIT__observeit_observeit_raw	observeit_observeit_raw
35	pending	direct_mapped_cef	Silverfort__Silverfort__silverfort_admin_console_raw	silverfort_admin_console_raw
36	pending	direct_mapped_cef	TrendMicroDeepSecurity__TrendMicroDeepSecurity__trend_micro_deep_security_agent_raw	trend_micro_deep_security_agent_raw
37	pending	direct_mapped_cef	TrendMicroDeepSecurity__TrendMicroDeepSecurity__trend_micro_deep_security_manager_raw	trend_micro_deep_security_manager_raw
38	pending	direct_mapped_cef	TrendMicroEmailSecurity__TrendMicroEmailSecurityModelingRule__trend_micro_email_security_raw	trend_micro_email_security_raw
39	pending	direct_mapped_cef	TrendMicroTippingPoint__TrendMicroTippingPoint__tippingpoint_unityone_raw	tippingpoint_unityone_raw
40	pending	direct_mapped_cef	TrendMicroVisionOne__TrendMicroVisionOneModelingRules__trend_micro_vision_one_raw	trend_micro_vision_one_raw
41	pending	direct_mapped_cef	UbiquitiUnifi__UbiquitiUnifi__ubiquiti_unifi_raw	ubiquiti_unifi_raw
42	pending	direct_mapped_cef	WatchguardFirebox__WatchguardFirebox__watchguard_xtm_raw	watchguard_xtm_raw
43	pending	direct_mapped_cef	WithSecure__WithSecure__withsecure_endpoint_protection_raw	withsecure_endpoint_protection_raw
44	pending	direct_mapped_cef	ZeroNetworksSegment__ZeroNetworksSegment__zeronetworks_segment_raw	zeronetworks_segment_raw
45	pending	direct_mapped_cef	ZscalerZPA__ZscalerZPA__zscaler_zpa_raw	zscaler_zpa_raw
46	pending	direct_mapped_other	AMP__AMP__cisco_secure_endpoint_raw	cisco_secure_endpoint_raw
47	pending	direct_mapped_other	AbnormalSecurity__AbnormalSecurityEventCollector__abnormal_security_email_protection_raw	abnormal_security_email_protection_raw
48	pending	direct_mapped_other	Absolute__Absolute__absolute_secure_endpoint_raw	absolute_secure_endpoint_raw
49	pending	direct_mapped_other	AdminByRequest__AdminByRequest__admin_by_request_raw	admin_by_request_raw
50	pending	direct_mapped_other	Akamai_SIEM__Akamai_WAF__akamai_waf_raw	akamai_waf_raw
51	pending	direct_mapped_other	AppSentinelsAi__AppSentinelsAi__appsentinels_appsentinels_raw	appsentinels_appsentinels_raw
52	pending	direct_mapped_other	Armis__ArmisModelingRules__armis_security_activities_raw	armis_security_activities_raw
53	pending	direct_mapped_other	Armis__ArmisModelingRules__armis_security_devices_raw	armis_security_devices_raw
54	pending	direct_mapped_other	Armis__ArmisModelingRules__armis_security_raw	armis_security_raw
55	pending	direct_mapped_other	AtlassianConfluenceCloud__AtlassianConfluenceCloud__atlassian_confluence_raw	atlassian_confluence_raw
56	pending	direct_mapped_other	AzureAppService__AzureAppService__msft_azure_app_service_raw	msft_azure_app_service_raw
57	pending	direct_mapped_other	AzureSecurityCenter__MicrosoftDefenderForCloudModelingRules__microsoft_defender_for_cloud_raw	microsoft_defender_for_cloud_raw
58	pending	direct_mapped_other	BitSight__BitSight__bitsight_bitsight_raw	bitsight_bitsight_raw
59	pending	direct_mapped_other	BitwardenPasswordManager__BitwardenPasswordManager__bitwarden_password_manager_raw	bitwarden_password_manager_raw
60	pending	direct_mapped_other	BloodHoundEnterprise__BloodHoundEnterprise__bloodhound_enterprise_raw	bloodhound_enterprise_raw
61	pending	direct_mapped_other	Box__BoxEventsCollector__box_box_raw	box_box_raw
62	pending	direct_mapped_other	CarbonBlackDefense__CarbonBlackDefense__vmware_carbon_black_cloud_raw	vmware_carbon_black_cloud_raw
63	pending	direct_mapped_other	Celonis__Celonis__celonis_celonis_raw	celonis_celonis_raw
64	pending	direct_mapped_other	CiscoAppDynamics__CiscoAppDynamics__cisco_appdynamics_raw	cisco_appdynamics_raw
65	pending	direct_mapped_other	CiscoSpark__CiscoWebex__cisco_webex_raw	cisco_webex_raw
66	pending	direct_mapped_other	CiscoThousandEyes__CiscoThousandEyes__cisco_thousandeyes_raw	cisco_thousandeyes_raw
67	pending	direct_mapped_other	CloudflareWAF__CloudflareWAF__cloudflare_waf_raw	cloudflare_waf_raw
68	pending	direct_mapped_other	CloudflareZeroTrust__CloudflareZeroTrust__cloudflare_zerotrust_raw	cloudflare_zerotrust_raw
69	pending	direct_mapped_other	CohesityHelios__CohesityHelios__cohesity_helios_raw	cohesity_helios_raw
70	pending	direct_mapped_other	CommvaultBackupSolutions__CommvaultBackupSolutions__commvault_backupsolution_raw	commvault_backupsolution_raw
71	pending	direct_mapped_other	CorelightZeek__CorelightZeek__corelight_zeek_raw	corelight_zeek_raw
72	pending	direct_mapped_other	CybelAngel__CybelAngel__cybelangel_platform_raw	cybelangel_platform_raw
73	pending	direct_mapped_other	CyberArkIdentity__CyberArkIdentityEventCollector__cyberark_identity_raw	cyberark_identity_raw
74	pending	direct_mapped_other	Darktrace__DarktraceEventCollector__darktrace_darktrace_raw	darktrace_darktrace_raw
75	pending	direct_mapped_other	DeCYFIR__DeCYFIR__cyfirma_decyfir_raw	cyfirma_decyfir_raw
76	pending	direct_mapped_other	DelineaALM__DelineaALM__thycotic_alm_raw	thycotic_alm_raw
77	pending	direct_mapped_other	DigitalGuardian__DigitalGuardianModelingRules__digital_guardian_arc_raw	digital_guardian_arc_raw
78	pending	direct_mapped_other	DigitalShadows__DigitalShadows__reliaquest_greymatter_drp_raw	reliaquest_greymatter_drp_raw
79	pending	direct_mapped_other	Docusign__Docusign__docusign_docusign_raw	docusign_docusign_raw
80	pending	direct_mapped_other	Dragos_Platform__Dragos_Platform__dragos_platform_raw	dragos_platform_raw
81	pending	direct_mapped_other	Dropbox__DropboxEventCollector__dropbox_dropbox_raw	dropbox_dropbox_raw
82	pending	direct_mapped_other	Druva__Druva__druva_druva_raw	druva_druva_raw
83	pending	direct_mapped_other	Exabeam__Exabeam__exabeam_threat_center_raw	exabeam_threat_center_raw
84	pending	direct_mapped_other	ExtraHop__ExtraHop__extrahop_revealx_raw	extrahop_revealx_raw
85	pending	direct_mapped_other	FireEyeETP__FireEyeETPEventCollectorModelingRules__fireeye_etp_raw	fireeye_etp_raw
86	pending	direct_mapped_other	GenesysCloud__GenesysCloud__genesys_cloud_raw	genesys_cloud_raw
87	pending	direct_mapped_other	GenetecSecurityCenter__GenetecSecurityCenter__genetec_security_center_raw	genetec_security_center_raw
88	pending	direct_mapped_other	GitGuardian__GitGuardian__gitguardian_enterprise_raw	gitguardian_enterprise_raw
89	pending	direct_mapped_other	GitHub__GithubModelingRules__github_github_audit_raw	github_github_audit_raw
90	pending	direct_mapped_other	GitLab__GitlabModelingRules__gitlab_gitlab_raw	gitlab_gitlab_raw
91	pending	direct_mapped_other	GoogleChrome__GoogleChrome__google_workspace_chrome_raw	google_workspace_chrome_raw
92	pending	direct_mapped_other	HPEArubaCentral__HPEArubaCentral__aruba_central_raw	aruba_central_raw
93	pending	direct_mapped_other	HelloWorld__HelloWorldModelingRules__hello_world_raw	hello_world_raw
94	pending	direct_mapped_other	IBMMaaS360Security__IBMMaaS360Security__ibm_maas360_security_raw	ibm_maas360_security_raw
95	pending	direct_mapped_other	IBMSecurityVerify__IBMSecurityVerify__ibm_security_verify_raw	ibm_security_verify_raw
96	pending	direct_mapped_other	IBMStorageScale__IBMStorageScale__ibm_storagescale_raw	ibm_storagescale_raw
97	pending	direct_mapped_other	InfobloxBloxOne__InfobloxBloxOneThreatDefense__infoblox_bloxone_threat_defense_raw	infoblox_bloxone_threat_defense_raw
98	pending	direct_mapped_other	IronscalesEventCollector__IronscalesModelingRules__ironscales_ironscales_raw	ironscales_ironscales_raw
99	pending	direct_mapped_other	JamfProtect__JamfProtect__jamf_protect_raw	jamf_protect_raw
100	pending	direct_mapped_other	KeeperSecurity__KeeperSecurity__keeper_security_raw	keeper_security_raw
101	pending	direct_mapped_other	KnowBe4_KMSAT__KnowBe4KMSATEventCollector__knowbe4_kmsat_raw	knowbe4_kmsat_raw
102	pending	direct_mapped_other	LenelS2NetBox__LenelS2NetBox__lenels2_netbox_raw	lenels2_netbox_raw
103	pending	direct_mapped_other	LookoutMobileEndpointSecurity__LookoutMobileEndpointSecurity__lookout_mobile_endpoint_security_raw	lookout_mobile_endpoint_security_raw
104	pending	direct_mapped_other	ManageEngine__ManageEngine__manage_engine_raw	manage_engine_raw
105	pending	direct_mapped_other	MicrosoftADFS__MicrosoftADFS__microsoft_adfs_raw	microsoft_adfs_raw
106	pending	direct_mapped_other	MicrosoftADFS__MicrosoftADFS__msft_adfs_raw	msft_adfs_raw
107	pending	direct_mapped_other	MicrosoftCloudAppSecurity__MicrosoftCloudAppSecurity__microsoft_defender_cloud_apps_raw	microsoft_defender_cloud_apps_raw
108	pending	direct_mapped_other	MicrosoftDHCP__MicrosoftDHCP__microsoft_dhcp_raw	microsoft_dhcp_raw
109	pending	direct_mapped_other	MicrosoftExchangeServer__MicrosoftExchangeServerModeling__msft_exchange_raw	msft_exchange_raw
110	pending	direct_mapped_other	MicrosoftIntune__MicrosoftIntune__msft_intune_raw	msft_intune_raw
111	pending	direct_mapped_other	MicrosoftWindowsAMSI__MicrosoftWindowsAMSI__microsoft_amsi_raw	microsoft_amsi_raw
112	pending	direct_mapped_other	MicrosoftWindowsSysmon__MicrosoftWindowsSysmon__microsoft_sysmon_raw	microsoft_sysmon_raw
113	pending	direct_mapped_other	Mimecast__MimecastModelingRules__mimecast_mimecast_raw	mimecast_mimecast_raw
114	pending	direct_mapped_other	Monday__Monday__monday_monday_raw	monday_monday_raw
115	pending	direct_mapped_other	MongoDBAtlas__MongoDBAtlas__mongodb_atlas_raw	mongodb_atlas_raw
116	pending	direct_mapped_other	NVIDIA_DOCA_Argus__NVIDIA_DOCA_Argus__nvidia_doca_argus_raw	nvidia_doca_argus_raw
117	pending	direct_mapped_other	NetBox__NetBoxModelingRules__netbox_irm_raw	netbox_irm_raw
118	pending	direct_mapped_other	NetmotionVPN__NetmotionVPN__netmotion_vpn_raw	netmotion_vpn_raw
119	pending	direct_mapped_other	OktaASA__OktaASA__okta_asa_raw	okta_asa_raw
120	pending	direct_mapped_other	OktaAuth0__OktaAuth0ModelingRules__okta_auth0_raw	okta_auth0_raw
121	pending	direct_mapped_other	OneLogin__OneLoginModelingRules__onelogin_iam_raw	onelogin_iam_raw
122	pending	direct_mapped_other	OnePassword__OnePassword__1password_1password_raw	1password_1password_raw
123	pending	direct_mapped_other	OracleCloudInfrastructure__OracleCloudInfrastructureModelingRules__oracle_cloud_infrastructure_raw	oracle_cloud_infrastructure_raw
124	pending	direct_mapped_other	Oracle_IAM__Oracle_IAM__oracle_oam_raw	oracle_oam_raw
125	pending	direct_mapped_other	Oracle__OracleDBEventCollector__oracle_db_raw	oracle_db_raw
126	pending	direct_mapped_other	Orca__OrcaModelingRules__orca_security_raw	orca_security_raw
127	pending	direct_mapped_other	PrismaCloud__PrismaCloud__prisma_cloud_raw	prisma_cloud_raw
128	pending	direct_mapped_other	PrismaSaasSecurity__SaasSecurityEventCollector__paloaltonetworks_saassecurity_raw	paloaltonetworks_saassecurity_raw
129	pending	direct_mapped_other	ProofpointCasb__ProofpointCasb__proofpoint_casb_raw	proofpoint_casb_raw
130	pending	direct_mapped_other	ProofpointIsolation__ProofpointIsolation__proofpoint_isolation_raw	proofpoint_isolation_raw
131	pending	direct_mapped_other	ProofpointThreatResponse__ProofpointThreatResponseModelingRules__proofpoint_threat_response_raw	proofpoint_threat_response_raw
132	pending	direct_mapped_other	RadwareCloudDDoSProtectionServices__RadwareCloudDDoSProtectionServices__radware_cloud_ddos_raw	radware_cloud_ddos_raw
133	pending	direct_mapped_other	RecordedFuture__RecordedFutureModelingRules__recorded_future_intelligence_cloud_raw	recorded_future_intelligence_cloud_raw
134	pending	direct_mapped_other	RetarusSecureEmailGateway__RetarusSecureEmailGateway__retarus_secure_email_gateway_raw	retarus_secure_email_gateway_raw
135	pending	direct_mapped_other	RunZero__RunZeroModelingRules__runzero_runzero_raw	runzero_runzero_raw
136	pending	direct_mapped_other	SafeNet_Trusted_Access__SafeNetTrustedAccessModelingRules__safenet_trusted_access_raw	safenet_trusted_access_raw
137	pending	direct_mapped_other	SailPointIdentityNow__SailPointIdentityNow__sailpoint_identitynow_raw	sailpoint_identitynow_raw
138	pending	direct_mapped_other	Salesforce__SalesforceModelingRule__salesforce_event_audit_raw	salesforce_event_audit_raw
139	pending	direct_mapped_other	Salesforce__Salesforce__salesforce_audit_raw	salesforce_audit_raw
140	pending	direct_mapped_other	Salesforce__Salesforce__salesforce_eventlogfile_raw	salesforce_eventlogfile_raw
141	pending	direct_mapped_other	Salesforce__Salesforce__salesforce_login_raw	salesforce_login_raw
142	pending	direct_mapped_other	SaviyntEIC__SaviyntEIC__saviynt_eic_raw	saviynt_eic_raw
143	pending	direct_mapped_other	Shodan__Shodan__shodan_banner_raw	shodan_banner_raw
144	pending	direct_mapped_other	Slack__SlackModelingRules__slack_slack_raw	slack_slack_raw
145	pending	direct_mapped_other	SymantecCloudSOC__SymantecCloudSOCModelingRules__symantec_cloud_soc_raw	symantec_cloud_soc_raw
146	pending	direct_mapped_other	SymantecEndpointSecurity__SymantecEndpointSecurity__symantec_endpoint_security_raw	symantec_endpoint_security_raw
147	pending	direct_mapped_other	TeamViewer__TeamViewer__teamviewer_tensor_raw	teamviewer_tensor_raw
148	pending	direct_mapped_other	Tenable_io__Tenable_io__tenable_io_raw	tenable_io_raw
149	pending	direct_mapped_other	Tenable_io__Tenable_io__tenable_io_vulnerabilities_raw	tenable_io_vulnerabilities_raw
150	pending	direct_mapped_other	Vectra_AI__Vectra_AIEventCollector__vectra_vectra_raw	vectra_vectra_raw
151	pending	direct_mapped_other	Workday__WorkdayEventCollector__workday_activity_raw	workday_activity_raw
152	pending	direct_mapped_other	Workday__WorkdayEventCollector__workday_signon_raw	workday_signon_raw
153	pending	direct_mapped_other	Zoom__Zoom__zoom_zoom_raw	zoom_zoom_raw
154	pending	direct_mapped_other	epo__McafeeEpoModelingRules__mcafee_epo_raw	mcafee_epo_raw
155	pending	direct_mapped_other	jamf__Jamf__jamf_pro_raw	jamf_pro_raw
156	pending	direct_mapped_other	qualys__QualysModelingRules__qualys_assets_raw	qualys_assets_raw
157	pending	raw_log_based	AWS_ELB__AWS_ELB__aws_elb_raw	aws_elb_raw
158	pending	raw_log_based	ApacheTomcat__ApacheTomcatModelingRules__apache_tomcat_raw	apache_tomcat_raw
159	pending	raw_log_based	ApacheWebServer__ApacheWebServerModelingRules__apache_httpd_raw	apache_httpd_raw
160	pending	raw_log_based	AristaSwitch__AristaSwitch__arista_switch_raw	arista_switch_raw
161	pending	raw_log_based	Auditd__Auditd__unix_auditd_raw	unix_auditd_raw
162	pending	raw_log_based	AvayaAuraCommunicationManager__AvayaAuraCommunicationManager__avaya_communication_manager_raw	avaya_communication_manager_raw
163	pending	raw_log_based	AzureDevOps__AzureDevOps__msft_azure_devops_raw	msft_azure_devops_raw
164	pending	raw_log_based	BarracudaEmailProtection__BarracudaEmailProtection__barracuda_email_protection_raw	barracuda_email_protection_raw
165	pending	raw_log_based	BarracudaWAF__BarracudaWAFModelingRules__barracuda_waf_raw	barracuda_waf_raw
166	pending	raw_log_based	Barracuda_Cloudgen_Firewall__Barracuda_CGFWModelingRules__barracuda_cgfw_raw	barracuda_cgfw_raw
167	pending	raw_log_based	BeyondTrustPrivilegedRemoteAccess__BeyondTrustPrivilegedRemoteAccess__beyondtrust_pra_raw	beyondtrust_pra_raw
168	pending	raw_log_based	BeyondTrustRemoteSupport__BeyondTrustRemoteSupport__beyondtrust_remote_support_raw	beyondtrust_remote_support_raw
169	pending	raw_log_based	BeyondTrust_Password_Safe__BeyondTrust_Password_Safe__beyondtrust_passwordsafe_raw	beyondtrust_passwordsafe_raw
170	pending	raw_log_based	Bitbucket__Bitbucket__atlassian_bitbucket_raw	atlassian_bitbucket_raw
171	pending	raw_log_based	BluecatAddressManager__BluecatAddressManager__bluecat_address_manager_raw	bluecat_address_manager_raw
172	pending	raw_log_based	BrocadeSwitch__BrocadeSwitch__brocade_switch_raw	brocade_switch_raw
173	pending	raw_log_based	Cisco-umbrella-cloud-security__Cisco-umbrella-cloud-security__cisco_umbrella_raw	cisco_umbrella_raw
174	pending	raw_log_based	CiscoASA__CiscoASA__cisco_asa_raw	cisco_asa_raw
175	pending	raw_log_based	CiscoASR__CiscoASR__cisco_asr_raw	cisco_asr_raw
176	pending	raw_log_based	CiscoCatalyst__CiscoCatalyst__cisco_catalyst_raw	cisco_catalyst_raw
177	pending	raw_log_based	CiscoISR__CiscoISR__cisco_isr_raw	cisco_isr_raw
178	pending	raw_log_based	CiscoNexus__CiscoNexusModelingRules__cisco_nexus_raw	cisco_nexus_raw
179	pending	raw_log_based	CiscoSMA__CiscoSMAModelingRules__Cisco_SMA_raw	Cisco_SMA_raw
180	pending	raw_log_based	Cisco_Wireless_LAN_Controller__Cisco_Wireless_LAN_Controller__cisco_wlc_raw	cisco_wlc_raw
181	pending	raw_log_based	CitrixADC__CitrixADC__citrix_adc_raw	citrix_adc_raw
182	pending	raw_log_based	ClearswiftDLP__ClearswiftDLP__clearswift_dlp_raw	clearswift_dlp_raw
183	pending	raw_log_based	DellEMCUnity__DellEMCUnity__dell_emc_unity_raw	dell_emc_unity_raw
184	pending	raw_log_based	F5APM__F5APM__f5_apm_raw	f5_apm_raw
185	pending	raw_log_based	F5ASM__F5ASMModelingRules__F5_ASM_raw	F5_ASM_raw
186	pending	raw_log_based	F5BigIPAWAF__F5BigIPAWAF__f5_waf_raw	f5_waf_raw
187	pending	raw_log_based	F5LTM__F5LTMModelingRules__f5_ltm_raw	f5_ltm_raw
188	pending	raw_log_based	FireEyeHX__FireEyeHXModelingRules__fireeye_hx_audit_raw	fireeye_hx_audit_raw
189	pending	raw_log_based	FireEyeHX__FireEyeHXModelingRules__fireeye_hx_raw	fireeye_hx_raw
190	pending	raw_log_based	FortiManager__FortiManager__fortinet_fortimanager_raw	fortinet_fortimanager_raw
191	pending	raw_log_based	Fortimail__Fortimail__fortinet_fortimail_raw	fortinet_fortimail_raw
192	pending	raw_log_based	HPESwitch__HPESwitch__hpe_switch_raw	hpe_switch_raw
193	pending	raw_log_based	HashiCorp-Vault__HashiCorpVault__hashicorp_vault_raw	hashicorp_vault_raw
194	pending	raw_log_based	HuaweiFW__HuaweiFW__huawei_fw_raw	huawei_fw_raw
195	pending	raw_log_based	HuaweiNetworkDevices__HuaweiNetworkDevices__huawei_network_devices_raw	huawei_network_devices_raw
196	pending	raw_log_based	IBMDirectoryServer__IBMDirectoryServer__ibm_ldap_raw	ibm_ldap_raw
197	pending	raw_log_based	IBM_AIX__IBM_AIX__ibm_aix_raw	ibm_aix_raw
198	pending	raw_log_based	Infoblox__Infoblox__infoblox_infoblox_raw	infoblox_infoblox_raw
199	pending	raw_log_based	IronPort__IronPort__cisco_esa_raw	cisco_esa_raw
200	pending	raw_log_based	IvantiConnectSecure__IvantiConnectSecure__ivanti_connect_secure_raw	ivanti_connect_secure_raw
201	pending	raw_log_based	IvantiPulseSecureVTM__IvantiPulseSecureVTM__ivanti_vtm_raw	ivanti_vtm_raw
202	pending	raw_log_based	Kiteworks__Kiteworks__kiteworks_kiteworks_raw	kiteworks_kiteworks_raw
203	pending	raw_log_based	Kubernetes__Kubernetes__kubernetes_kubernetes_raw	kubernetes_kubernetes_raw
204	pending	raw_log_based	LinuxEventsCollection__LinuxEventsCollection__linux_linux_raw	linux_linux_raw
205	pending	raw_log_based	MacOS__MacOS__apple_macos_raw	apple_macos_raw
206	pending	raw_log_based	ManageEngine-ADManager__ManageEngine-ADManager__manageengine_admanager_raw	manageengine_admanager_raw
207	pending	raw_log_based	McAfeeNSM__McAfeeNSM__mcafee_nsm_raw	mcafee_nsm_raw
208	pending	raw_log_based	McAfeeWebGateway__McAfeeWebGateway__mcafee_webgateway_raw	mcafee_webgateway_raw
209	pending	raw_log_based	MicrosoftDNS__MicrosoftDNS__microsoft_dns_raw	microsoft_dns_raw
210	pending	raw_log_based	MicrosoftECM__MicrosoftECM__msft_ecm_raw	msft_ecm_raw
211	pending	raw_log_based	MicrosoftEntraID__MicrosoftEntraID__msft_azure_raw	msft_azure_raw
212	pending	raw_log_based	MicrosoftIISWebServer__MicrosoftIISWebServerModelingRules__iis_iis_raw	iis_iis_raw
213	pending	raw_log_based	MicrosoftNPS__MicrosoftNPS__msft_nps_raw	msft_nps_raw
214	pending	raw_log_based	MicrosoftNPS__MicrosoftNPS__msft_radius_raw	msft_radius_raw
